CURRENCY,,Australian Dollar,Bahraini Dinar,Canadian Dollar,Chinese Yuan,Danish Krone,Hongkong Dollar,Japnese Yen,Kuwaiti Dinar,Malaysian Ringgit,New Zealand Dollar,Norwegian Krone,Omani Rial,Qatari Rial,Singaporian Dollar,Swedish Krone,Swiss Franc,Saudi Arabian Rial,Thai Baht,Turkish Lira,UAE Dirham,UK Pound Sterling,U.S. Dollar,,Euro, SDR
Aug 1947 to Jun 1949,,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,13.3507,3.3085,,...,...
Jul 1949 to Jun 1952,,...,...,...,...,...,...,0.0092,...,...,...,...,...,...,...,...,...,...,...,...,...,9.2670,3.3085,,...,...
Jul 1952 to Jul 1955,,...,...,...,...,...,...,0.0092,...,...,...,...,...,...,...,...,...,0.8942,...,...,...,9.2670,3.3085,,...,...
Aug 1955 to Dec 1956,,...,...,...,...,...,...,0.0132,...,...,...,...,...,...,...,...,...,1.2891,...,...,...,13.3391,4.7697,,...,...
Jan,1957,5.3421,...,4.9648,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6776,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.2719,0.2586,1.4112,...,13.3391,4.7697,,...,4.7619
Feb,1957,5.3421,...,4.9773,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6776,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.2719,0.2586,1.4112,...,13.3391,4.7697,,...,4.7619
Mar,1957,5.3421,...,4.9887,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6776,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.2719,0.2583,1.4112,...,13.3391,4.7697,,...,4.7619
Apr,1957,5.3421,...,4.9700,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6776,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.2719,0.2574,1.4112,...,13.3391,4.7697,,...,4.7619
May,1957,5.3421,...,4.9913,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6776,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.2719,0.2573,1.4112,...,13.3391,4.7697,,...,4.7619
Jun,1957,5.3421,...,5.0039,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6776,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.2719,0.2573,1.4112,...,13.3391,4.7697,,...,4.7619
Jul,1957,5.3421,...,5.0160,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6776,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.2719,0.2573,1.4112,...,13.3391,4.7697,,...,4.7619
Aug,1957,5.3421,...,5.0313,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6776,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.2719,0.2576,1.4112,...,13.3391,4.7697,,...,4.7619
Sep,1957,5.3421,...,4.9726,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6776,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.2719,0.2572,1.4112,...,13.3391,4.7697,,...,4.7619
Oct,1957,5.3421,...,4.9442,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6776,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.2719,0.2568,1.4112,...,13.3391,4.7697,,...,4.7619
Nov,1957,5.3421,...,4.9560,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6776,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.2719,0.2570,1.4112,...,13.3391,4.7697,,...,4.7619
Dec,1957,5.3421,...,4.8800,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6776,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.2719,0.2560,1.4112,...,13.3391,4.7697,,...,4.7619
Jan,1958,5.3421,...,4.8438,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6776,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.2719,0.2557,1.4112,...,13.3391,4.7697,,...,4.7619
Feb,1958,5.3421,...,4.8621,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6776,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.2719,0.2563,1.4112,...,13.3391,4.7697,,...,4.7619
Mar,1958,5.3421,...,4.8805,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6776,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.2719,0.2562,1.4112,...,13.3391,4.7697,,...,4.7619
Apr,1958,5.3421,...,4.9142,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6776,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.2719,0.2547,1.4112,...,13.3391,4.7697,,...,4.7619
May,1958,5.3421,...,4.9330,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6776,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.2719,0.2544,1.4112,...,13.3391,4.7697,,...,4.7619
Jun,1958,5.3421,...,4.9591,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6776,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.2719,0.2551,1.4112,...,13.3391,4.7697,,...,4.7619
Jul,1958,5.3421,...,4.9684,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6776,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.2719,0.2546,1.4112,...,13.3391,4.7697,,...,4.7619
Aug,1958,5.3421,...,4.9447,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6776,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.2719,0.2539,0.7696,...,13.3391,4.7697,,...,4.7619
Sep,1958,5.3421,...,4.8830,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6776,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.2719,0.2533,0.5291,...,13.3391,4.7697,,...,4.7619
Oct,1958,5.3421,...,4.9137,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6776,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.2719,0.2532,0.5291,...,13.3391,4.7697,,...,4.7619
Nov,1958,5.3421,...,4.9258,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6776,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.2719,0.2532,0.5291,...,13.3391,4.7697,,...,4.7619
Dec,1958,5.3421,...,4.9447,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6776,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.2719,0.2532,0.5291,...,13.3391,4.7697,,...,4.7619
Jan,1959,5.3421,...,4.9330,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6776,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.2719,0.2532,0.5291,...,13.3391,4.7697,,...,4.7619
Feb,1959,5.3421,...,4.8925,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6776,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.2719,0.2531,0.5291,...,13.3391,4.7697,,...,4.7619
Mar,1959,5.3421,...,4.9182,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6776,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.2719,0.2527,0.5291,...,13.3391,4.7697,,...,4.7619
Apr,1959,5.3421,...,4.9504,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6776,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.2719,0.2520,0.5291,...,13.3391,4.7697,,...,4.7619
May,1959,5.3421,...,4.9535,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6776,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.2719,0.2522,0.5291,...,13.3391,4.7697,,...,4.7619
Jun,1959,5.3421,...,4.9747,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6776,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.2719,0.2522,0.5291,...,13.3391,4.7697,,...,4.7619
Jul,1959,5.3421,...,4.9819,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6776,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.2719,0.2522,0.5291,...,13.3391,4.7697,,...,4.7619
Aug,1959,5.3421,...,4.9976,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6776,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.2719,0.2521,0.5291,...,13.3391,4.7697,,...,4.7619
Sep,1959,5.3421,...,5.0123,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6776,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.2719,0.2521,0.5291,...,13.3391,4.7697,,...,4.7619
Oct,1959,5.3421,...,5.0329,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6776,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.2719,0.2521,0.5291,...,13.3391,4.7697,,...,4.7619
Nov,1959,5.3421,...,5.0192,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6776,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.2719,0.2521,0.5291,...,13.3391,4.7697,,...,4.7619
Dec,1959,5.3421,...,5.0144,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6776,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.2719,0.2521,0.5291,...,13.3391,4.7697,,...,4.7619
Jan,1960,5.3421,...,5.0044,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6776,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2521,0.5291,...,13.3391,4.7697,,...,4.7619
Feb,1960,5.3421,...,5.0118,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6776,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2521,0.5291,...,13.3391,4.7697,,...,4.7619
Mar,1960,5.3421,...,5.0160,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6776,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2521,0.5291,...,13.3391,4.7697,,...,4.7619
Apr,1960,5.3421,...,4.9535,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6776,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2521,0.5291,...,13.3391,4.7697,,...,4.7619
May,1960,5.3421,...,4.8765,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6776,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2521,0.5291,...,13.3391,4.7697,,...,4.7619
Jun,1960,5.3421,...,4.8552,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6776,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2521,0.5291,...,13.3391,4.7697,,...,4.7619
Jul,1960,5.3421,...,4.8750,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6776,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2521,0.5291,...,13.3391,4.7697,,...,4.7619
Aug,1960,5.3421,...,4.9182,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6776,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2521,0.5289,...,13.3391,4.7697,,...,4.7619
Sep,1960,5.3421,...,4.9046,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6776,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2521,0.5288,...,13.3391,4.7697,,...,4.7619
Oct,1960,5.3421,...,4.8745,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6776,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2521,0.5288,...,13.3391,4.7697,,...,4.7619
Nov,1960,5.3421,...,4.8835,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6776,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2527,0.5288,...,13.3391,4.7697,,...,4.7619
Dec,1960,5.3421,...,4.8552,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6776,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2527,0.5288,...,13.3391,4.7697,,...,4.7619
Jan,1961,5.3421,...,4.8038,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6776,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2532,0.5288,...,13.3391,4.7697,,...,4.7619
Feb,1961,5.3421,...,4.8198,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6776,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2533,0.5288,...,13.3391,4.7697,,...,4.7619
Mar,1961,5.3421,...,4.8311,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6776,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2533,0.5288,...,13.3391,4.7697,,...,4.7619
Apr,1961,5.3421,...,4.8232,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6776,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2533,0.5288,...,13.3391,4.7697,,...,4.7619
May,1961,5.3421,...,4.8301,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6776,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2535,0.5288,...,13.3391,4.7697,,...,4.7619
Jun,1961,5.3421,...,4.7436,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6776,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2539,0.5288,...,13.3391,4.7697,,...,4.7619
Jul,1961,5.3421,...,4.6124,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6776,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2539,0.5288,...,13.3391,4.7697,,...,4.7619
Aug,1961,5.3421,...,4.6240,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6776,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2539,0.5288,...,13.3391,4.7697,,...,4.7619
Sep,1961,5.3421,...,4.6272,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6776,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2539,0.5288,...,13.3391,4.7697,,...,4.7619
Oct,1961,5.3421,...,4.6294,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2539,0.5288,...,13.3391,4.7697,,...,4.7619
Nov,1961,5.3421,...,4.6053,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2539,0.5288,...,13.3391,4.7697,,...,4.7619
Dec,1961,5.3421,...,4.5744,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2541,0.5288,...,13.3391,4.7697,,...,4.7619
Jan,1962,5.3421,...,4.5643,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2545,0.5288,...,13.3391,4.7697,,...,4.7619
Feb,1962,5.3421,...,4.5478,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2546,0.5288,...,13.3391,4.7697,,...,4.7619
Mar,1962,5.3421,...,4.5452,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2551,0.5288,...,13.3391,4.7697,,...,4.7619
Apr,1962,5.3421,...,4.5434,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2552,0.5288,...,13.3391,4.7697,,...,4.7619
May,1962,5.3421,...,4.4074,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2563,0.5288,...,13.3391,4.7697,,...,4.7619
Jun,1962,5.3421,...,4.3843,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2563,0.5288,...,13.3391,4.7697,,...,4.7619
Jul,1962,5.3421,...,4.4209,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2563,0.5288,...,13.3391,4.7697,,...,4.7619
Aug,1962,5.3421,...,4.4262,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2563,0.5288,...,13.3391,4.7697,,...,4.7619
Sep,1962,5.3421,...,4.4295,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2563,0.5288,...,13.3391,4.7697,,...,4.7619
Oct,1962,5.3421,...,4.4328,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2563,0.5288,...,13.3391,4.7697,,...,4.7619
Nov,1962,5.3421,...,4.4295,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2563,0.5288,...,13.3391,4.7697,,...,4.7619
Dec,1962,5.3421,...,4.4328,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2563,0.5288,...,13.3391,4.7697,,...,4.7619
Jan,1963,5.3421,...,4.4283,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2563,0.5288,...,13.3391,4.7697,,...,4.7619
Feb,1963,5.3421,...,4.4262,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2563,0.5288,...,13.3391,4.7697,,...,4.7619
Mar,1963,5.3421,...,4.4246,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2563,0.5288,...,13.3391,4.7697,,...,4.7619
Apr,1963,5.3421,...,4.4295,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2563,0.5288,...,13.3391,4.7697,,...,4.7619
May,1963,5.3421,...,4.4279,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2563,0.5288,...,13.3391,4.7697,,...,4.7619
Jun,1963,5.3421,...,4.4238,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2563,0.5288,...,13.3391,4.7697,,...,4.7619
Jul,1963,5.3421,...,4.4176,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2563,0.5288,...,13.3391,4.7697,,...,4.7619
Aug,1963,5.3421,...,4.4046,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2563,0.5288,...,13.3391,4.7697,,...,4.7619
Sep,1963,5.3421,...,4.4172,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2563,0.5288,...,13.3391,4.7697,,...,4.7619
Oct,1963,5.3421,...,4.4250,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2568,0.5288,...,13.3391,4.7697,,...,4.7619
Nov,1963,5.3421,...,4.4262,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2568,0.5288,...,13.3391,4.7697,,...,4.7619
Dec,1963,5.3421,...,4.4193,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2568,0.5288,...,13.3391,4.7697,,...,4.7619
Jan,1964,5.3421,...,4.4156,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2568,0.5282,...,13.3391,4.7697,,...,4.7619
Feb,1964,5.3421,...,4.4164,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2568,0.5276,...,13.3391,4.7697,,...,4.7619
Mar,1964,5.3421,...,4.4143,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2568,0.5276,...,13.3391,4.7697,,...,4.7619
Apr,1964,5.3421,...,4.4127,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2568,0.5276,...,13.3391,4.7697,,...,4.7619
May,1964,5.3421,...,4.4127,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2568,0.5276,...,13.3391,4.7697,,...,4.7619
Jun,1964,5.3421,...,4.4127,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2568,0.5276,...,13.3391,4.7697,,...,4.7619
Jul,1964,5.3421,...,4.4111,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2568,0.5276,...,13.3391,4.7697,,...,4.7619
Aug,1964,5.3421,...,4.4217,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2568,0.5276,...,13.3391,4.7697,,...,4.7619
Sep,1964,5.3421,...,4.4324,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2568,0.5276,...,13.3391,4.7697,,...,4.7619
Oct,1964,5.3421,...,4.4357,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2568,0.5276,...,13.3391,4.7697,,...,4.7619
Nov,1964,5.3421,...,4.4415,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2568,0.5276,...,13.3391,4.7697,,...,4.7619
Dec,1964,5.3421,...,4.4386,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2568,0.5276,...,13.3391,4.7697,,...,4.7619
Jan,1965,5.3421,...,4.4419,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2568,0.5276,...,13.3391,4.7697,,...,4.7619
Feb,1965,5.3421,...,4.4336,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2568,0.5276,...,13.3391,4.7697,,...,4.7619
Mar,1965,5.3421,...,4.4119,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2568,0.5276,...,13.3391,4.7697,,...,4.7619
Apr,1965,5.3421,...,4.4197,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2568,0.5276,...,13.3391,4.7697,,...,4.7619
May,1965,5.3421,...,4.4184,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2568,0.5276,...,13.3391,4.7697,,...,4.7619
Jun,1965,5.3421,...,4.4070,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2568,0.5276,...,13.3391,4.7697,,...,4.7619
Jul,1965,5.3421,...,4.4021,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2568,0.5276,...,13.3391,4.7697,,...,4.7619
Aug,1965,5.3421,...,4.4229,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2568,0.5276,...,13.3391,4.7697,,...,4.7619
Sep,1965,5.3421,...,4.4312,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2568,0.5276,...,13.3391,4.7697,,...,4.7619
Oct,1965,5.3421,...,4.4365,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2568,0.5276,...,13.3391,4.7697,,...,4.7619
Nov,1965,5.3421,...,4.4373,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2568,0.5276,...,13.3391,4.7697,,...,4.7619
Dec,1965,5.3421,...,4.4336,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,...,1.5581,0.9220,1.0907,1.0599,0.2568,0.5276,...,13.3391,4.7697,,...,4.7619
Jan,1966,5.3421,10.0164,4.4386,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,1.0016,1.5581,0.9220,1.0907,1.0599,0.2568,0.5276,1.0016,13.3391,4.7697,,...,4.7619
Feb,1966,5.3421,10.0164,4.4316,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,1.0016,1.5581,0.9220,1.0907,1.0599,0.2568,0.5276,1.0016,13.3391,4.7697,,...,4.7619
Mar,1966,5.3421,10.0164,4.4320,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,1.0016,1.5581,0.9220,1.0907,1.0599,0.2568,0.5276,1.0016,13.3391,4.7697,,...,4.7619
Apr,1966,5.3421,10.0164,4.4287,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,1.0016,1.5581,0.9220,1.0907,1.0599,0.2568,0.5276,1.0016,13.3391,4.7697,,...,4.7619
May,1966,5.3421,10.0164,4.4299,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,1.0016,1.5581,0.9220,1.0907,1.0599,0.2568,0.5276,1.0016,13.3391,4.7697,,...,4.7619
Jun,1966,5.3421,10.0164,4.4307,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,1.0016,1.5581,0.9220,1.0907,1.0599,0.2568,0.5276,1.0016,13.3391,4.7697,,...,4.7619
Jul,1966,5.3421,10.0164,4.4378,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,1.0016,1.5581,0.9220,1.0907,1.0599,0.2568,0.5276,1.0016,13.3391,4.7697,,...,4.7619
Aug,1966,5.3421,10.0164,4.4365,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,1.0016,1.5581,0.9220,1.0907,1.0599,0.2568,0.5276,1.0016,13.3391,4.7697,,...,4.7619
Sep,1966,5.3421,10.0164,4.4320,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,1.0016,1.5581,0.9220,1.0907,1.0599,0.2568,0.5276,1.0016,13.3391,4.7697,,...,4.7619
Oct,1966,5.3421,10.0164,4.4193,1.9375,0.6905,...,0.0132,13.3552,1.5581,6.6320,0.6678,13.3552,1.0016,1.5581,0.9220,1.0907,1.0599,0.2568,0.5276,1.0016,13.3391,4.7697,,...,4.7619
